movieId,title,genres,Year,Movies,Genre
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,Toy Story,Adventure
2,Jumanji (1995),Adventure|Children|Fantasy,1995,Jumanji,Adventure
3,Grumpier Old Men (1995),Comedy|Romance,1995,Grumpier Old Men,Comedy
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,Waiting to Exhale,Comedy
5,Father of the Bride Part II (1995),Comedy,1995,Father of the Bride Part II,Comedy
6,Heat (1995),Action|Crime|Thriller,1995,Heat,Action
7,Sabrina (1995),Comedy|Romance,1995,Sabrina,Comedy
8,Tom and Huck (1995),Adventure|Children,1995,Tom and Huck,Adventure
9,Sudden Death (1995),Action,1995,Sudden Death,Action
10,GoldenEye (1995),Action|Adventure|Thriller,1995,GoldenEye,Action
11,"American President, The (1995)",Comedy|Drama|Romance,1995,"American President, The",Comedy
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,Dracula: Dead and Loving It,Comedy
13,Balto (1995),Adventure|Animation|Children,1995,Balto,Adventure
14,Nixon (1995),Drama,1995,Nixon,Drama
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,Cutthroat Island,Action
16,Casino (1995),Crime|Drama,1995,Casino,Crime
17,Sense and Sensibility (1995),Drama|Romance,1995,Sense and Sensibility,Drama
18,Four Rooms (1995),Comedy,1995,Four Rooms,Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,Ace Ventura: When Nature Calls,Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,Money Train,Action
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,Get Shorty,Comedy
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,Copycat,Crime
23,Assassins (1995),Action|Crime|Thriller,1995,Assassins,Action
24,Powder (1995),Drama|Sci-Fi,1995,Powder,Drama
25,Leaving Las Vegas (1995),Drama|Romance,1995,Leaving Las Vegas,Drama
26,Othello (1995),Drama,1995,Othello,Drama
27,Now and Then (1995),Children|Drama,1995,Now and Then,Children
28,Persuasion (1995),Drama|Romance,1995,Persuasion,Drama
